Price,Close,High,Low,Open,Volume
Ticker,IBM,IBM,IBM,IBM,IBM
Date,,,,,
2000-01-03,58.50724792480469,58.50724792480469,56.42671333176599,56.71042039896029,10823694
2000-01-04,56.5212516784668,57.750660377617265,55.92230949491503,57.49847377137779,8606279
2000-01-05,58.50724792480469,60.3986484981173,56.55280670332016,56.96260714206864,13318927
2000-01-06,57.49849319458008,59.9888317411055,57.24630650315101,59.515982700943326,8338607
2000-01-07,57.246299743652344,59.484451334473405,55.79622845169062,59.1376956809698,12402108
2000-01-10,59.51597595214844,60.20948726240323,58.19199798481253,59.13769595789977,8933363
2000-01-11,60.0203742980957,61.09216604938965,58.822489162821846,59.45295608272138,8235472
2000-01-12,60.272552490234375,61.53348212555278,59.642085660040195,60.33559716071882,7116775
2000-01-13,59.64210891723633,61.02913648452923,58.38117476515186,60.49323846362546,8880226
2000-01-14,60.33559799194336,62.195474160371624,59.2638063783825,60.997589179034776,11460604
2000-01-18,58.381141662597656,60.39863516199854,58.002865656529224,60.367110819803095,7995519
2000-01-19,60.272552490234375,61.53348212555278,56.83651128447857,58.286582981390204,9031687
2000-01-20,60.0203742980957,62.92051810456304,60.0203742980957,62.03786441670369,18601436
2000-01-21,61.28128433227539,62.03784031718898,60.49319998227635,61.47042232223655,8230660
2000-01-24,61.28128433227539,61.97479566222491,58.79094197235012,61.47042232223655,6798163
2000-01-25,60.08342361450195,60.27256571760415,58.50725820564746,58.885538386781036,7255997
2000-01-26,58.885528564453125,60.493218059834454,58.507248446418096,60.05189326799533,5120275
2000-01-27,57.246299743652344,59.73663799612491,56.300601774993616,59.51597567344705,8707532
2000-01-28,56.269073486328125,57.5930513545302,55.512513554478794,56.868015759441725,6976192
2000-01-31,56.61586380004883,56.899574954569324,55.29188512073815,56.174538915302264,6488024
2000-02-01,55.480987548828125,57.214769667562884,55.039662947725496,56.67887205902248,7640716
2000-02-02,57.246299743652344,58.41266003498893,55.67013512086486,56.48973975869784,8062254
2000-02-03,59.07468795776367,59.26382605970479,57.53004268326874,58.00289598826421,6499635
2000-02-04,58.3181037902832,59.73665105333675,57.908299369257435,59.61055769494957,5653944
2000-02-07,57.5615348815918,58.948561612805534,57.05716152478681,58.50723291306662,6045357
2000-02-08,59.988868713378906,60.08353726564655,58.66349689371295,59.04217110278351,5715658
2000-02-09,59.263065338134766,60.46221098879126,59.07372421843288,60.08353277869352,5621936
2000-02-10,60.14667892456055,60.14667892456054,59.010647660134055,59.420879605334804,4651144
2000-02-11,58.25325393676758,60.30442445277854,57.84301822184305,60.115087371616966,6013872
2000-02-14,58.600406646728516,58.758190320173604,57.811496338119156,58.56884910617789,4753024
2000-02-15,59.13687515258789,59.2946548138904,57.495935246435636,58.50574441945241,5415665
2000-02-16,58.44260025024414,59.23151428142425,58.190148082611024,58.82127850169382,4149377
2000-02-17,58.947505950927734,60.020425673567594,58.44260160396626,58.82127986418737,5478425
2000-02-18,56.80167770385742,58.5372857313786,56.29677325735618,58.19016090242848,8026376
2000-02-22,56.04431915283203,57.27502269254021,54.908288215645435,56.54922358238485,8006921
2000-02-23,54.908302307128906,55.791881256297856,54.78207616734645,55.791881256297856,7777324
2000-02-24,55.79184341430664,56.04429552264061,54.6242554352412,54.939818556005896,9531152
2000-02-25,54.52959060668945,55.476284062607526,52.983320330763746,55.476284062607526,10786561
2000-02-28,52.76242446899414,53.77223294683512,52.478418856580646,52.825539513512055,8869975
2000-02-29,51.87885284423828,53.29889317937005,50.96371278455102,53.29889317937005,10967205
2000-03-01,50.6165885925293,53.267331980405174,50.52192004924214,51.50017106492324,11304959
2000-03-02,52.06821060180664,53.23579924780108,50.237933785580324,50.74283829065073,11707773
2000-03-03,54.52959060668945,55.53939507932602,53.551339627759226,54.15091241846106,10630289
2000-03-06,52.03664779663086,56.04432186340249,50.99528538229336,55.50786390303738,11241780
2000-03-07,52.005096435546875,54.02471449122769,51.342412283007526,53.51980997730749,10496715
2000-03-08,53.64601516723633,53.96157835061519,51.87885408756333,52.005076137469814,8761714
2000-03-09,54.52959060668945,54.52959060668945,52.57308864882901,53.77223423023267,6625469
2000-03-10,53.14110565185547,55.03449262552066,53.01487958499073,54.340251272417554,7419487
2000-03-13,54.37180709838867,55.03449090675302,51.752621329376794,52.509973677606645,8233066
2000-03-14,54.84516525268555,55.539406728735415,54.21403480659174,54.4033759550732,8340490
2000-03-15,54.02470016479492,54.65583063983009,53.58290681761688,54.27715235480899,5926531
2000-03-16,55.03449249267578,55.444728216322424,54.46647720780851,55.034492492675774,6927135
2000-03-17,55.539390563964844,56.391415410882516,54.37180260049841,54.655812225906125,9264736
2000-03-20,56.927879333496094,57.243442462196924,55.507839210383914,55.53939270274006,6865421
2000-03-21,57.306556701660156,57.90612945829525,56.517642847016035,56.95943605616675,7083094
2000-03-22,57.685245513916016,58.253260854156586,57.49590438096495,57.81147159278129,6420139
2000-03-23,58.19016647338867,58.50573379731714,56.35989372355762,58.50573379731714,6791050
2000-03-24,60.90400314331055,61.724470623260714,58.095475972225145,58.253259574667716,12683378
2000-03-27,64.0596694946289,64.75391109874343,62.92363448209911,63.11297566550777,12408593
